 2017-03-08 22:00:47,967 [P18384/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.8 application starting on WINGATE
 2017-03-08 22:00:48,017 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-03-08 22:00:48,059 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 42ms)
 2017-03-08 22:00:48,207 [P18384/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-03-08 22:00:48,209 [P18384/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-03-08 22:00:48,223 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-03-08 22:00:48,941 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 718ms)
 2017-03-08 22:00:48,974 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-03-08 22:00:48,989 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 14ms)
 2017-03-08 22:00:48,989 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-03-08 22:00:49,005 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 15ms)
 2017-03-08 22:00:49,026 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-03-08 22:00:49,040 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 14ms)
 2017-03-08 22:00:49,041 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-03-08 22:00:49,058 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 17ms)
 2017-03-08 22:00:49,128 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-03-08 22:00:49,148 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 20ms)
 2017-03-08 22:00:49,149 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-03-08 22:00:49,167 [P18384/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 17ms)
 2017-03-08 22:00:51,167 [P18384/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-03-08 22:00:51,660 [P18384/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-03-08 22:00:51,687 [P18384/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-03-08 22:00:51,845 [P18384/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-03-08 22:00:52,015 [P18384/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4163ms)
 2017-03-08 22:00:52,336 [P18384/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:61551/umbraco (UmbracoModule request)
 2017-03-08 22:00:52,695 [P18384/D2/T10] INFO  umbraco.content - Load Xml from file...
 2017-03-08 22:00:52,706 [P18384/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2017-03-08 22:00:53,869 [P18384/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-03-08 22:00:53,894 [P18384/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 25ms)
 2017-03-08 22:01:52,816 [P18384/D2/T17] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-03-07 22:01:52
 2017-03-08 22:01:52,907 [P18384/D2/T12] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-03-08 22:01:52,925 [P18384/D2/T12] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 17ms)
 2017-03-08 22:02:23,033 [P18384/D2/T18] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username wingatekr@gmail.com from IP address ::1
 2017-03-08 22:02:23,034 [P18384/D2/T18] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: wingatekr@gmail.com logged in from IP address ::1
 2017-03-08 22:02:23,398 [P18384/D2/T20] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2017-03-08 22:02:23,419 [P18384/D2/T20] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 20ms)
